municipality,zip_code,age,gender,state,municipality_type
City Of Haverhill,03077,64,F,NH,municipal
Unknown,34476,58,M,FL,state
Unknown,33909,64,F,FL,state
Unknown,33909,64,F,FL,state
Unknown,14226,33,F,NY,state
Unknown,02035,54,M,MA,state
Unknown,12090,17,M,NY,state
Unknown,97461,78,M,OR,state
Unknown,34759,64,M,FL,state
Unknown,33904,56,M,FL,state
Town Of Middleborough,29073,62,F,SC,municipal
Unknown,38501,6,F,TN,state
Unknown,01082,62,F,MA,state
Unknown,34233,63,M,FL,state
Town Of Middleborough,02779,59,F,MA,municipal
Unknown,78641,38,F,TX,state
Unknown,10701,43,M,NY,state
Unknown,14221,60,F,NY,state
Unknown,30078,61,M,GA,state
Unknown,33903,62,M,FL,state
Unknown,33325,61,F,FL,state
Unknown,29644,64,M,SC,state
Unknown,33549,23,M,FL,state
Unknown,28037,61,M,NC,state
City Of Haverhill,66030,58,M,KS,municipal
Unknown,34491,60,M,FL,state
Unknown,34491,60,M,FL,state
Unknown,32043,23,M,FL,state
Unknown,34210,62,M,FL,state
Unknown,30342,64,F,GA,state
Unknown,44805,41,M,OH,state
Unknown,02186,62,F,MA,state
Unknown,75670,3,M,TX,state
Unknown,20148,61,F,VA,state
Unknown,27371,51,F,NC,state
Unknown,33973,68,F,FL,state
Unknown,01339,36,F,MA,state
Unknown,29169,58,F,SC,state
Unknown,02762,59,F,MA,state
Unknown,85379,63,M,AZ,state
Unknown,33991,23,F,FL,state
Unknown,03865,18,M,NH,state
Town Of Brookline,02458,63,M,MA,municipal
Unknown,01940,57,F,MA,state
Town Of Bedford,89014,63,F,NV,municipal
Unknown,34286,22,M,FL,state
Unknown,03865,21,F,NH,state
Unknown,02048,23,F,MA,state
Unknown,34711,64,F,FL,state
Unknown,34711,64,F,FL,state
Unknown,33904,62,M,FL,state
Unknown,42025,60,F,KY,state
Unknown,72601,61,F,AR,state
Unknown,12168,49,F,NY,state
Unknown,22963,62,F,VA,state
Unknown,32162,64,M,FL,state
Unknown,32162,64,M,FL,state
Unknown,01540,53,M,MA,state
Unknown,33884,57,M,FL,state
Unknown,29486,56,M,SC,state
City Of Lowell,01824,25,M,MA,municipal
Unknown,94043,44,M,CA,state
Town Of Weymouth,34289,57,M,FL,municipal
Unknown,96710,59,F,HI,state
Unknown,02777,64,M,MA,state
Unknown,30327,65,M,GA,state
Unknown,30135,79,M,GA,state
